DATA_EXIBICAO,TITULO_BRASIL,PAIS_OBRA,PUBLICO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA
01/05/2020,1917,ESTADOS UNIDOS,221,BRASÍLIA,DF,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/05/2020,CORINGA,CANADÁ,6,SANTA ROSA,RS,WARNER BROS. (SOUTH) INC.
01/05/2020,LUTA POR JUSTIÇA,ESTADOS UNIDOS,242,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
01/05/2020,PÉPEQUENO,ESTADOS UNIDOS,256,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
01/05/2020,A MALDIÇÃO DA CHORONA,ESTADOS UNIDOS,8,SANTA ROSA,RS,WARNER BROS. (SOUTH) INC.
01/05/2020,OS ÓRFÃOS,ESTADOS UNIDOS,2,SANTA ROSA,RS,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
02/05/2020,1917,ESTADOS UNIDOS,282,BRASÍLIA,DF,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
02/05/2020,AQUAMAN,ESTADOS UNIDOS,2,TRÊS PASSOS,RS,WARNER BROS. (SOUTH) INC.
02/05/2020,CORINGA,CANADÁ,2,SANTA ROSA,RS,WARNER BROS. (SOUTH) INC.
02/05/2020,CORINGA,CANADÁ,2,TRÊS PASSOS,RS,WARNER BROS. (SOUTH) INC.
02/05/2020,LUTA POR JUSTIÇA,ESTADOS UNIDOS,312,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
02/05/2020,PÉPEQUENO,ESTADOS UNIDOS,251,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
02/05/2020,A MALDIÇÃO DA CHORONA,ESTADOS UNIDOS,4,SANTA ROSA,RS,WARNER BROS. (SOUTH) INC.
02/05/2020,A MALDIÇÃO DA CHORONA,ESTADOS UNIDOS,12,TRÊS PASSOS,RS,WARNER BROS. (SOUTH) INC.
02/05/2020,OS ÓRFÃOS,ESTADOS UNIDOS,2,TRÊS PASSOS,RS,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
03/05/2020,1917,ESTADOS UNIDOS,104,BRASÍLIA,DF,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
03/05/2020,CORINGA,CANADÁ,6,SANTA ROSA,RS,WARNER BROS. (SOUTH) INC.
03/05/2020,LUTA POR JUSTIÇA,ESTADOS UNIDOS,202,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
03/05/2020,PÉPEQUENO,ESTADOS UNIDOS,264,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
03/05/2020,A MALDIÇÃO DA CHORONA,ESTADOS UNIDOS,6,SANTA ROSA,RS,WARNER BROS. (SOUTH) INC.
03/05/2020,OS ÓRFÃOS,ESTADOS UNIDOS,2,SANTA ROSA,RS,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
04/05/2020,1917,ESTADOS UNIDOS,70,BRASÍLIA,DF,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
04/05/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,63,PRAIA GRANDE,SP,WARNER BROS. (SOUTH) INC.
04/05/2020,CORINGA,CANADÁ,13,SANTA ROSA,RS,WARNER BROS. (SOUTH) INC.
04/05/2020,CORINGA,CANADÁ,4,TRÊS PASSOS,RS,WARNER BROS. (SOUTH) INC.
04/05/2020,LUTA POR JUSTIÇA,ESTADOS UNIDOS,99,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
04/05/2020,PÉPEQUENO,ESTADOS UNIDOS,119,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
05/05/2020,1917,ESTADOS UNIDOS,109,BRASÍLIA,DF,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
05/05/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,56,PRAIA GRANDE,SP,WARNER BROS. (SOUTH) INC.
05/05/2020,LUTA POR JUSTIÇA,ESTADOS UNIDOS,163,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
05/05/2020,PÉPEQUENO,ESTADOS UNIDOS,178,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
05/05/2020,A MALDIÇÃO DA CHORONA,ESTADOS UNIDOS,7,SANTA ROSA,RS,WARNER BROS. (SOUTH) INC.
06/05/2020,1917,ESTADOS UNIDOS,156,BRASÍLIA,DF,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
