DATA_EXIBICAO,TITULO_BRASIL,PAIS_OBRA,PUBLICO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA
01/08/2020,1917,ESTADOS UNIDOS,19,PASSO FUNDO,RS,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/08/2020,UM LUGAR SILENCIOSO,ESTADOS UNIDOS,247,SÃO PAULO,SP,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA
01/08/2020,UM LUGAR SILENCIOSO,ESTADOS UNIDOS,18,NOVA LIMA,MG,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA
01/08/2020,UM LUGAR SILENCIOSO,ESTADOS UNIDOS,8,PAULÍNIA,SP,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA
01/08/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,23,FLORIANÓPOLIS,SC,WARNER BROS. (SOUTH) INC.
01/08/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,6,GOIÂNIA,GO,WARNER BROS. (SOUTH) INC.
01/08/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,6,PATROCÍNIO,MG,WARNER BROS. (SOUTH) INC.
01/08/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,58,INDAIATUBA,SP,WARNER BROS. (SOUTH) INC.
01/08/2020,ABOMINÁVEL,CHINA,25,PRAIA GRANDE,SP,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/08/2020,ALADDIN,ESTADOS UNIDOS,21,PAULÍNIA,SP,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/08/2020,ANNABELLE 3: DE VOLTA PARA CASA,ESTADOS UNIDOS,10,TUBARÃO,SC,WARNER BROS. (SOUTH) INC.
01/08/2020,ANNABELLE 3: DE VOLTA PARA CASA,ESTADOS UNIDOS,6,GOIÂNIA,GO,WARNER BROS. (SOUTH) INC.
01/08/2020,ANNABELLE 3: DE VOLTA PARA CASA,ESTADOS UNIDOS,12,PAULÍNIA,SP,WARNER BROS. (SOUTH) INC.
01/08/2020,AQUAMAN,ESTADOS UNIDOS,140,SÃO BERNARDO DO CAMPO,SP,WARNER BROS. (SOUTH) INC.
01/08/2020,AQUAMAN,ESTADOS UNIDOS,16,IMPERATRIZ,MA,WARNER BROS. (SOUTH) INC.
