DATA_EXIBICAO,TITULO_BRASIL,PAIS_OBRA,PUBLICO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA
01/04/2021,DRUK - MAIS UMA RODADA,DINAMARCA,7,FLORIANÓPOLIS,SC,VITRINE FILMES LTDA
01/04/2021,SEM SAÍDA,ESTADOS UNIDOS,4,JOAÇABA,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/04/2021,SEM SAÍDA,ESTADOS UNIDOS,16,SÃO JOÃO DE MERITI,RJ,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/04/2021,LEGADO EXPLOSIVO,ESTADOS UNIDOS,8,SÃO JOÃO DE MERITI,RJ,WMIX DISTRIBUIDORA LTDA.
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,9,SÃO JOSÉ,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,5,ITAJAÍ,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,4,CHAPECÓ,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,3,PALHOÇA,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,2,ARARANGUÁ,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,1,JARAGUÁ DO SUL,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,1,SOMBRIO,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,4,CALDAS NOVAS,GO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,20,FOZ DO IGUAÇU,PR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,1,RESENDE,RJ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,9,INDAIAL,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,2,SÃO BENTO DO SUL,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,8,SÃO JOÃO DE MERITI,RJ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,5,BRASÍLIA,DF,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,2,SOMBRIO,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,3,CALDAS NOVAS,GO,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,15,FOZ DO IGUAÇU,PR,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,242,BRASÍLIA,DF,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,16,BRUSQUE,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,8,INDAIAL,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,7,JOAÇABA,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,5,PORTO BELO,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,6,SÃO BENTO DO SUL,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,2,SANTA INÊS,MA,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,2,SANTO ANTÔNIO DE JESUS,BA,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,6,ALAGOINHAS,BA,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,17,SÃO JOÃO DE MERITI,RJ,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,3,BRASÍLIA,DF,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,9,PRIMAVERA DO LESTE,MT,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,SCOOBY - O FILME,ESTADOS UNIDOS,1,JARAGUÁ DO SUL,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,ESTRANHO PASSSAGEIRO - SPUTNIK,RÚSSIA,2,BOA VISTA,RR,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/04/2021,É DOCE!,ALEMANHA,4,BOA VISTA,RR,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/04/2021,É DOCE!,ALEMANHA,2,BOA VISTA,RR,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/04/2021,O MENSAGEIRO DO ÚLTIMO DIA,ESTADOS UNIDOS,8,SÃO JOÃO DE MERITI,RJ,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,7,BLUMENAU,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,8,CHAPECÓ,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,6,PALHOÇA,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,4,ARARANGUÁ,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,9,SÃO JOSÉ,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,10,ITAJAÍ,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,5,JARAGUÁ DO SUL,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,2,SOMBRIO,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,2,RESENDE,RJ,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,5,BRUSQUE,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,2,INDAIAL,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,2,JOAÇABA,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,2,PORTO UNIÃO,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,8,SANTA INÊS,MA,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,1,SANTA INÊS,MA,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,6,FRAIBURGO,SC,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,14,SÃO JOÃO DE MERITI,RJ,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,6,BRASÍLIA,DF,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,A VIÚVA DAS SOMBRAS,RÚSSIA,11,FEIRA DE SANTANA,BA,SM DISTRIBUIDORA DE FILMES LTDA
01/04/2021,CONVENÇÃO DAS BRUXAS,ESTADOS UNIDOS,4,BOA VISTA,RR,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,6,ITAJAÍ,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,2,BLUMENAU,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,5,CHAPECÓ,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,5,PALHOÇA,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,2,ARARANGUÁ,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,7,SÃO JOSÉ,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,4,JARAGUÁ DO SUL,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,3,VITÓRIA DA CONQUISTA,BA,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,5,VITÓRIA DA CONQUISTA,BA,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,12,FOZ DO IGUAÇU,PR,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,5,BRUSQUE,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,6,INDAIAL,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,2,BRUSQUE,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,2,PORTO UNIÃO,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,5,SÃO BENTO DO SUL,SC,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,11,SÃO JOÃO DE MERITI,RJ,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,2,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
01/04/2021,TOM & JERRY - O FILME,ESTADOS UNIDOS,3,BOA VISTA,RR,WARNER BROS. (SOUTH) INC.
01/04/2021,MULHER-MARAVILHA 1984,CANADÁ,1,RESENDE,RJ,WARNER BROS. (SOUTH) INC.
01/04/2021,MULHER-MARAVILHA 1984,CANADÁ,6,SÃO JOÃO DE MERITI,RJ,WARNER BROS. (SOUTH) INC.
01/04/2021,MULHER-MARAVILHA 1984,CANADÁ,10,BOA VISTA,RR,WARNER BROS. (SOUTH) INC.
02/04/2021,DRUK - MAIS UMA RODADA,DINAMARCA,8,FLORIANÓPOLIS,SC,VITRINE FILMES LTDA
02/04/2021,SEM SAÍDA,ESTADOS UNIDOS,5,INDAIAL,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
02/04/2021,SEM SAÍDA,ESTADOS UNIDOS,9,JOAÇABA,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
02/04/2021,SEM SAÍDA,ESTADOS UNIDOS,6,BRUSQUE,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
02/04/2021,SEM SAÍDA,ESTADOS UNIDOS,8,PORTO BELO,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
02/04/2021,SEM SAÍDA,ESTADOS UNIDOS,2,SÃO BENTO DO SUL,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
02/04/2021,SEM SAÍDA,ESTADOS UNIDOS,12,SÃO JOÃO DE MERITI,RJ,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
02/04/2021,SEM SAÍDA,ESTADOS UNIDOS,7,BOA VISTA,RR,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
02/04/2021,LEGADO EXPLOSIVO,ESTADOS UNIDOS,18,SÃO JOÃO DE MERITI,RJ,WMIX DISTRIBUIDORA LTDA.
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,9,SÃO JOSÉ,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,13,ITAJAÍ,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,5,CHAPECÓ,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,8,PALHOÇA,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,1,ARARANGUÁ,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,10,JARAGUÁ DO SUL,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,2,SOMBRIO,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,6,CALDAS NOVAS,GO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,34,FOZ DO IGUAÇU,PR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,2,RESENDE,RJ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,3,PONTA GROSSA,PR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,8,INDAIAL,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,2,BRUSQUE,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,5,PORTO UNIÃO,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,2,SÃO BENTO DO SUL,SC,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,9,SÃO JOÃO DE MERITI,RJ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,MONSTER HUNTER,ESTADOS UNIDOS,2,BRASÍLIA,DF,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,6,SOMBRIO,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
02/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,2,CALDAS NOVAS,GO,THE WALT DISNEY COMPANY (BRASIL) LTDA.
02/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,53,FOZ DO IGUAÇU,PR,THE WALT DISNEY COMPANY (BRASIL) LTDA.
02/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,6,RESENDE,RJ,THE WALT DISNEY COMPANY (BRASIL) LTDA.
02/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,319,BRASÍLIA,DF,THE WALT DISNEY COMPANY (BRASIL) LTDA.
02/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,17,BRUSQUE,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
02/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,16,INDAIAL,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
02/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,3,JOAÇABA,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
02/04/2021,RAYA E O ÚLTIMO DRAGÃO,ESTADOS UNIDOS,3,PORTO BELO,SC,THE WALT DISNEY COMPANY (BRASIL) LTDA.
