DATA_EXIBICAO,TITULO_BRASIL,PAIS_OBRA,PUBLICO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA
01/03/2021,O 3º ANDAR,ESPANHA,13,RECIFE,PE,SM DISTRIBUIDORA DE FILMES LTDA
01/03/2021,O 3º ANDAR,ESPANHA,34,RIO DE JANEIRO,RJ,SM DISTRIBUIDORA DE FILMES LTDA
01/03/2021,PJ HARVEY: UM CÃO CHAMADO DINHEIRO,INGLATERRA,1,RIO DE JANEIRO,RJ,ZETA FILMES LTDA
01/03/2021,PJ HARVEY: UM CÃO CHAMADO DINHEIRO,INGLATERRA,2,SÃO PAULO,SP,ZETA FILMES LTDA
01/03/2021,PJ HARVEY: UM CÃO CHAMADO DINHEIRO,INGLATERRA,1,SÃO PAULO,SP,ZETA FILMES LTDA
01/03/2021,BERLIN ALEXANDERPLATZ,ALEMANHA,1,RIO DE JANEIRO,RJ,A2 DISTRIBUIDORA DE FILMES LTDA EPP
01/03/2021,BERLIN ALEXANDERPLATZ,ALEMANHA,2,RIO DE JANEIRO,RJ,A2 DISTRIBUIDORA DE FILMES LTDA EPP
01/03/2021,BERLIN ALEXANDERPLATZ,ALEMANHA,4,SÃO PAULO,SP,A2 DISTRIBUIDORA DE FILMES LTDA EPP
01/03/2021,DOCE ENTARDECER NA TOSCANA,POLÔNIA,3,VITÓRIA,ES,ARTEPLEX DISTRIBUIDORA LTDA
01/03/2021,O ROUBO DO SÉCULO,ARGENTINA,1,FLORIANÓPOLIS,SC,WARNER BROS. (SOUTH) INC.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,2,MOGI DAS CRUZES,SP,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,2,ALFENAS,MG,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,1,ARARAS,SP,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,2,ARAÇATUBA,SP,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,11,RECIFE,PE,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,3,DIADEMA,SP,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,1,LIMEIRA,SP,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,2,CARUARU,PE,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,3,SOMBRIO,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,1,POUSO ALEGRE,MG,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,1,SÃO LOURENÇO,MG,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,1,LEME,SP,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,3,INDAIAL,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,2,JOAÇABA,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,4,BRUSQUE,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,4,PORTO BELO,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,2,PORTO UNIÃO,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
01/03/2021,SEM SAÍDA,ESTADOS UNIDOS,2,SÃO BENTO DO SUL,SC,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.
