DATA_EXIBICAO,TITULO_BRASIL,PAIS_OBRA,PUBLICO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA
01/07/2020,1917,ESTADOS UNIDOS,4,CACOAL,RO,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/07/2020,2001 : UMA ODISSÉIA NO ESPAÇO,REINO UNIDO,97,SÃO PAULO,SP,WARNER BROS. (SOUTH) INC.
01/07/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,128,SÃO PAULO,SP,WARNER BROS. (SOUTH) INC.
01/07/2020,AQUAMAN,ESTADOS UNIDOS,4,PAULÍNIA,SP,WARNER BROS. (SOUTH) INC.
01/07/2020,BAD BOYS PARA SEMPRE,ESTADOS UNIDOS,7,GUARAPUAVA,PR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/07/2020,AVES DE RAPINA (ARLEQUINA E SUA EMANCIPAÇÃO FANTABULOSA),ESTADOS UNIDOS,3,PARAUAPEBAS,PA,WARNER BROS. (SOUTH) INC.
01/07/2020,VINGANÇA A SANGUE-FRIO,ESTADOS UNIDOS,13,PRAIA GRANDE,SP,SM DISTRIBUIDORA DE FILMES LTDA
01/07/2020,DOLITTLE,ESTADOS UNIDOS,4,GUARAPUAVA,PR,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/07/2020,CORINGA,CANADÁ,29,NOVA LIMA,MG,WARNER BROS. (SOUTH) INC.
01/07/2020,CORINGA,CANADÁ,24,NOVA LIMA,MG,WARNER BROS. (SOUTH) INC.
01/07/2020,CORINGA,CANADÁ,2,PAULÍNIA,SP,WARNER BROS. (SOUTH) INC.
01/07/2020,JUMANJI: PROXIMA FASE,ESTADOS UNIDOS,6,CACOAL,RO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/07/2020,JUMANJI: PROXIMA FASE,ESTADOS UNIDOS,13,GOIÂNIA,GO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/07/2020,LA LA LAND – CANTANDO ESTAÇÕES,ESTADOS UNIDOS,24,BELO HORIZONTE,MG,SM DISTRIBUIDORA DE FILMES LTDA
01/07/2020,PARASITA,CORÉIA DO SUL,6,RIO DE JANEIRO,RJ,RJ DISTRIBUIDORA DE FILMES LTDA
01/07/2020,SHAZAM!,ESTADOS UNIDOS,176,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
01/07/2020,PÉPEQUENO,ESTADOS UNIDOS,37,NOVA LIMA,MG,WARNER BROS. (SOUTH) INC.
01/07/2020,SONIC - O FILME,CANADÁ,10,GOIÂNIA,GO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA
01/07/2020,ANGRY BIRDS 2 - O FILME,ESTADOS UNIDOS,94,BRASÍLIA,DF,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/07/2020,JOGOS VORAZES: A ESPERANÇA - O FINAL,ESTADOS UNIDOS,13,SÃO PAULO,SP,SM DISTRIBUIDORA DE FILMES LTDA
01/07/2020,O HOMEM INVISÍVEL,AUSTRÁLIA,156,BRASÍLIA,DF,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/07/2020,O HOMEM INVISÍVEL,AUSTRÁLIA,13,GOIÂNIA,GO,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
02/07/2020,1917,ESTADOS UNIDOS,25,PRAIA GRANDE,SP,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
02/07/2020,LARANJA MECÂNICA,ESTADOS UNIDOS,97,SÃO PAULO,SP,WARNER BROS. (SOUTH) INC.
02/07/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,218,SÃO PAULO,SP,WARNER BROS. (SOUTH) INC.
02/07/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,4,ITAPETININGA,SP,WARNER BROS. (SOUTH) INC.
02/07/2020,AQUAMAN,ESTADOS UNIDOS,16,NOVA LIMA,MG,WARNER BROS. (SOUTH) INC.
02/07/2020,BAD BOYS PARA SEMPRE,ESTADOS UNIDOS,7,GUARAPUAVA,PR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/07/2020,AVES DE RAPINA (ARLEQUINA E SUA EMANCIPAÇÃO FANTABULOSA),ESTADOS UNIDOS,4,PARAUAPEBAS,PA,WARNER BROS. (SOUTH) INC.
02/07/2020,A HORA DA SUA MORTE,HOLANDA,17,SÃO PAULO,SP,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.
02/07/2020,CREED II,ESTADOS UNIDOS,2,ITAPETININGA,SP,WARNER BROS. (SOUTH) INC.
02/07/2020,DOLITTLE,ESTADOS UNIDOS,5,GUARAPUAVA,PR,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
02/07/2020,NASCIDO PARA MATAR,ESTADOS UNIDOS,97,SÃO PAULO,SP,WARNER BROS. (SOUTH) INC.
02/07/2020,JOHN WICK 3: PARABELLUM,ESTADOS UNIDOS,39,SÃO PAULO,SP,SM DISTRIBUIDORA DE FILMES LTDA
02/07/2020,JUMANJI: PROXIMA FASE,ESTADOS UNIDOS,18,NOVA LIMA,MG,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/07/2020,LUTA POR JUSTIÇA,ESTADOS UNIDOS,6,PASSO FUNDO,RS,WARNER BROS. (SOUTH) INC.
02/07/2020,APRENDIZ DE ESPIÃ,ESTADOS UNIDOS,94,SÃO PAULO,SP,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.
02/07/2020,DOIS IRMÃOS: UMA JORNADA FANTÁSTICA,ESTADOS UNIDOS,3,PARAUAPEBAS,PA,THE WALT DISNEY COMPANY (BRASIL) LTDA.
02/07/2020,SHAZAM!,ESTADOS UNIDOS,132,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
02/07/2020,HOMEM-ARANHA LONGE DE CASA,ESTADOS UNIDOS,14,GOIÂNIA,GO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/07/2020,JOVENS TITÃS EM AÇÃO! NOS CINEMAS,ESTADOS UNIDOS,27,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
02/07/2020,ANGRY BIRDS 2 - O FILME,ESTADOS UNIDOS,103,BRASÍLIA,DF,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/07/2020,VELOZES E FURIOSOS 8,FRANÇA,1,BARRETOS,SP,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
02/07/2020,O HOMEM INVISÍVEL,AUSTRÁLIA,6,PASSO FUNDO,RS,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
02/07/2020,O HOMEM INVISÍVEL,AUSTRÁLIA,10,GOIÂNIA,GO,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
02/07/2020,PETS: A VIDA SECRETA DOS BICHOS 2,ESTADOS UNIDOS,8,PAULÍNIA,SP,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
02/07/2020,O REINO GELADO: A TERRA DOS ESPELHOS,RÚSSIA,46,PRAIA GRANDE,SP,GALERIA DISTRIBUIDORA AUDIOVISUAL LTDA
02/07/2020,YESTERDAY,REINO UNIDO,125,BRASÍLIA,DF,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
03/07/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,335,SÃO PAULO,SP,WARNER BROS. (SOUTH) INC.
03/07/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,64,SÃO CARLOS,SP,WARNER BROS. (SOUTH) INC.
03/07/2020,NASCE UMA ESTRELA,ESTADOS UNIDOS,12,ITAPETININGA,SP,WARNER BROS. (SOUTH) INC.
03/07/2020,AQUAMAN,ESTADOS UNIDOS,24,NOVA LIMA,MG,WARNER BROS. (SOUTH) INC.
03/07/2020,BAD BOYS PARA SEMPRE,ESTADOS UNIDOS,4,GUARAPUAVA,PR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
