DATA_EXIBICAO,TITULO_BRASIL,PAIS_OBRA,PUBLICO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA
01/06/2020,JOHN WICK 3: PARABELLUM,ESTADOS UNIDOS,29,PRAIA GRANDE,SP,SM DISTRIBUIDORA DE FILMES LTDA
01/06/2020,JUMANJI: PROXIMA FASE,ESTADOS UNIDOS,170,BRASÍLIA,DF,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/06/2020,A MALDIÇÃO DA CHORONA,ESTADOS UNIDOS,11,PRAIA GRANDE,SP,WARNER BROS. (SOUTH) INC.
01/06/2020,A GRANDE MENTIRA,ESTADOS UNIDOS,115,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
01/06/2020,O PARQUE DOS SONHOS,ESTADOS UNIDOS,144,BRASÍLIA,DF,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA
02/06/2020,JOHN WICK 3: PARABELLUM,ESTADOS UNIDOS,26,PRAIA GRANDE,SP,SM DISTRIBUIDORA DE FILMES LTDA
02/06/2020,JUMANJI: PROXIMA FASE,ESTADOS UNIDOS,178,BRASÍLIA,DF,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
02/06/2020,A MALDIÇÃO DA CHORONA,ESTADOS UNIDOS,30,PRAIA GRANDE,SP,WARNER BROS. (SOUTH) INC.
02/06/2020,A GRANDE MENTIRA,ESTADOS UNIDOS,163,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
02/06/2020,O PARQUE DOS SONHOS,ESTADOS UNIDOS,208,BRASÍLIA,DF,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA
03/06/2020,JOHN WICK 3: PARABELLUM,ESTADOS UNIDOS,28,PRAIA GRANDE,SP,SM DISTRIBUIDORA DE FILMES LTDA
03/06/2020,JUMANJI: PROXIMA FASE,ESTADOS UNIDOS,189,BRASÍLIA,DF,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
03/06/2020,SONIC - O FILME,CANADÁ,7,FAZENDA RIO GRANDE,PR,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA
03/06/2020,A MALDIÇÃO DA CHORONA,ESTADOS UNIDOS,27,PRAIA GRANDE,SP,WARNER BROS. (SOUTH) INC.
03/06/2020,A GRANDE MENTIRA,ESTADOS UNIDOS,189,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
03/06/2020,O GRITO,CANADÁ,10,FAZENDA RIO GRANDE,PR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
03/06/2020,O PARQUE DOS SONHOS,ESTADOS UNIDOS,251,BRASÍLIA,DF,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA
04/06/2020,BAD BOYS PARA SEMPRE,ESTADOS UNIDOS,220,BRASÍLIA,DF,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
04/06/2020,DOLITTLE,ESTADOS UNIDOS,29,PRAIA GRANDE,SP,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
04/06/2020,GODZILLA II – REI DOS MONSTROS,ESTADOS UNIDOS,174,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
04/06/2020,JOHN WICK 3: PARABELLUM,ESTADOS UNIDOS,4,PRAIA GRANDE,SP,SM DISTRIBUIDORA DE FILMES LTDA
04/06/2020,PÉPEQUENO,ESTADOS UNIDOS,8,PRAIA GRANDE,SP,WARNER BROS. (SOUTH) INC.
04/06/2020,O PARQUE DOS SONHOS,ESTADOS UNIDOS,150,BRASÍLIA,DF,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA
05/06/2020,BAD BOYS PARA SEMPRE,ESTADOS UNIDOS,240,BRASÍLIA,DF,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
05/06/2020,BLOODSHOT,ESTADOS UNIDOS,8,FAZENDA RIO GRANDE,PR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
05/06/2020,DOLITTLE,ESTADOS UNIDOS,62,PRAIA GRANDE,SP,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
05/06/2020,GODZILLA II – REI DOS MONSTROS,ESTADOS UNIDOS,246,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
05/06/2020,JOHN WICK 3: PARABELLUM,ESTADOS UNIDOS,35,PRAIA GRANDE,SP,SM DISTRIBUIDORA DE FILMES LTDA
05/06/2020,PÉPEQUENO,ESTADOS UNIDOS,7,PRAIA GRANDE,SP,WARNER BROS. (SOUTH) INC.
