DATA_EXIBICAO,TITULO_BRASIL,PAIS_OBRA,PUBLICO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA
01/10/2020,UM LINDO DIA NA VIZINHANÇA,ESTADOS UNIDOS,70,BRASÍLIA,DF,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/10/2020,O OFICIAL E O ESPIÃO,FRANÇA,2,RIO DE JANEIRO,RJ,ANTONIO FERNANDES FILMES LTDA
01/10/2020,ANNABELLE 3: DE VOLTA PARA CASA,ESTADOS UNIDOS,17,SANTA INÊS,MA,WARNER BROS. (SOUTH) INC.
01/10/2020,APOCALYPSE NOW: FINAL CUT,ESTADOS UNIDOS,9,RIO DE JANEIRO,RJ,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA
01/10/2020,APOCALYPSE NOW: FINAL CUT,ESTADOS UNIDOS,3,RIO DE JANEIRO,RJ,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA
01/10/2020,APOCALYPSE NOW: FINAL CUT,ESTADOS UNIDOS,10,RIO DE JANEIRO,RJ,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA
01/10/2020,APOCALYPSE NOW: FINAL CUT,ESTADOS UNIDOS,4,SALVADOR,BA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA
01/10/2020,DE VOLTA PARA O FUTURO,ESTADOS UNIDOS,4,MOGI DAS CRUZES,SP,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/10/2020,DE VOLTA PARA O FUTURO,ESTADOS UNIDOS,2,RIO DE JANEIRO,RJ,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/10/2020,DE VOLTA PARA O FUTURO,ESTADOS UNIDOS,5,RIO DE JANEIRO,RJ,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/10/2020,DE VOLTA PARA O FUTURO,ESTADOS UNIDOS,9,RIO DE JANEIRO,RJ,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/10/2020,DE VOLTA PARA O FUTURO,ESTADOS UNIDOS,3,RIO DE JANEIRO,RJ,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/10/2020,BAD BOYS PARA SEMPRE,ESTADOS UNIDOS,2,RIO DE JANEIRO,RJ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/10/2020,BAD BOYS PARA SEMPRE,ESTADOS UNIDOS,4,MANAUS,AM,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/10/2020,BATMAN VS SUPERMAN: A ORIGEM DA JUSTIÇA,ESTADOS UNIDOS,22,CURITIBA,PR,WARNER BROS. (SOUTH) INC.
01/10/2020,AVES DE RAPINA (ARLEQUINA E SUA EMANCIPAÇÃO FANTABULOSA),ESTADOS UNIDOS,47,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
01/10/2020,PANTERA NEGRA,ESTADOS UNIDOS,8,SANTO ANTÔNIO DA PLATINA,PR,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/10/2020,PANTERA NEGRA,ESTADOS UNIDOS,1,CAMPINAS,SP,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/10/2020,PANTERA NEGRA,ESTADOS UNIDOS,5,VALINHOS,SP,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/10/2020,PANTERA NEGRA,ESTADOS UNIDOS,3,JUNDIAÍ,SP,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/10/2020,PANTERA NEGRA,ESTADOS UNIDOS,7,BELÉM,PA,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/10/2020,BLOODSHOT,ESTADOS UNIDOS,9,PARAUAPEBAS,PA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/10/2020,BLOODSHOT,ESTADOS UNIDOS,10,RIO DE JANEIRO,RJ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/10/2020,BLOODSHOT,ESTADOS UNIDOS,9,BELÉM,PA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/10/2020,BLOODSHOT,ESTADOS UNIDOS,10,FORTALEZA,CE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/10/2020,O CHAMADO DA FLORESTA,ESTADOS UNIDOS,1,XANGRI-LÁ,RS,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/10/2020,A HORA DA SUA MORTE,HOLANDA,96,MANAUS,AM,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.
01/10/2020,DOUTOR SONO,ESTADOS UNIDOS,2,MANAUS,AM,WARNER BROS. (SOUTH) INC.
01/10/2020,DOCE ENTARDECER NA TOSCANA,POLÔNIA,1,INDAIATUBA,SP,ARTEPLEX DISTRIBUIDORA LTDA
01/10/2020,DOLITTLE,ESTADOS UNIDOS,4,TANGARÁ DA SERRA,MT,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/10/2020,DOLITTLE,ESTADOS UNIDOS,2,ITANHAÉM,SP,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/10/2020,E.T. O EXTRATERRESTRE,ESTADOS UNIDOS,4,RIO DE JANEIRO,RJ,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/10/2020,E.T. O EXTRATERRESTRE,ESTADOS UNIDOS,3,RIO DE JANEIRO,RJ,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
