Mes,Media_Publico,Mediana_Publico,Moda_Publico,Max_Publico,Min_Publico,Total_Publico,Desvio_Padrao,Q1,Q3,IQR
2019-03,103.14,54.0,2.0,1783.0,1.0,13112276,135.14479253551383,21.0,130.0,109.0
2019-04,129.8,56.0,2.0,2034.0,1.0,15971956,189.9616786976951,21.0,150.0,129.0
2019-05,127.34,68.0,4.0,1910.0,1.0,16613865,160.041271657411,24.0,168.0,144.0
2019-06,102.08,52.0,8.0,1766.0,1.0,14730152,133.3217375598722,20.0,128.0,108.0
2019-07,168.02,96.0,11.0,2013.0,1.0,24712843,195.47403477874153,34.0,229.0,195.0
2019-08,77.82,42.0,4.0,1443.0,1.0,9430581,100.28517861966769,16.0,99.0,83.0
2019-09,57.68,33.0,2.0,937.0,1.0,6593827,69.69862708573511,13.0,75.0,62.0
2019-10,102.77,54.0,4.0,1409.0,1.0,14586067,131.5506947867436,19.0,134.0,115.0
2019-11,62.33,33.0,4.0,1198.0,1.0,9092831,81.62431470616502,14.0,77.0,63.0
2019-12,53.92,30.0,4.0,1931.0,1.0,6322218,73.69306768175696,13.0,66.0,53.0
2020-01,118.37,69.0,8.0,3519.0,1.0,12991158,139.94565038581874,26.0,157.0,131.0
2020-02,71.91,41.0,4.0,3627.0,1.0,10245173,95.61292372251557,16.0,91.0,75.0
2020-03,37.89,20.0,2.0,1625.0,1.0,3104169,54.59974289541221,8.0,46.0,38.0
2020-04,27.15,5.0,4.0,271.0,2.0,1602,57.878831089202926,4.0,12.0,8.0
2020-05,114.11,99.0,2.0,383.0,1.0,21338,100.36567176924198,15.5,194.0,178.5
2020-06,54.61,18.0,2.0,426.0,1.0,34243,80.68922946455389,7.0,62.0,55.0
2020-07,41.72,18.0,4.0,590.0,1.0,49811,64.68131875171284,7.0,45.75,38.75
2020-08,21.62,10.0,2.0,379.0,1.0,45723,34.745357502150604,4.0,24.0,20.0
2020-09,12.95,7.0,2.0,547.0,1.0,139939,18.73943622789077,3.0,15.0,12.0
2020-10,16.07,9.0,2.0,334.0,1.0,610424,20.108926355778433,4.0,20.0,16.0
2020-11,21.83,11.0,2.0,1389.0,1.0,1512605,38.082756083174715,5.0,25.0,20.0
2020-12,28.17,15.0,2.0,1008.0,1.0,1881795,37.611855971442075,6.0,35.0,29.0
2021-01,19.97,12.0,2.0,362.0,1.0,1507465,22.610715132278724,6.0,26.0,20.0
2021-02,17.56,10.0,2.0,481.0,1.0,1265216,22.166989404141347,5.0,22.0,17.0
2021-03,12.88,7.0,2.0,240.0,1.0,220714,16.731728428813316,3.0,16.0,13.0
2021-04,14.26,8.0,2.0,641.0,1.0,153015,23.206171624948407,4.0,16.0,12.0
2021-05,22.77,13.0,2.0,540.0,1.0,1487525,28.00759388757706,6.0,29.0,23.0
2021-06,42.77,21.0,2.0,784.0,1.0,3735761,57.38010764159278,8.0,54.0,46.0
2021-07,54.11,36.0,2.0,694.0,1.0,6794406,56.9996497688171,15.0,73.0,58.0
2021-08,28.98,17.0,2.0,491.0,1.0,4107858,34.794808688115076,7.0,37.0,30.0
2021-09,30.84,16.0,2.0,737.0,1.0,4007242,41.764889796505,7.0,37.0,30.0
2021-10,49.32,26.0,2.0,1040.0,1.0,6679056,68.0629583311643,10.0,60.0,50.0
2021-11,52.0,26.0,2.0,1874.0,1.0,6944077,73.97849668730139,10.0,64.0,54.0
2021-12,114.17,35.0,2.0,5313.0,1.0,15257471,185.84245874301067,11.0,136.0,125.0
2022-01,63.7,35.0,2.0,1783.0,1.0,7627021,81.66975688488996,14.0,81.0,67.0
2022-02,36.76,19.0,2.0,1655.0,1.0,3463844,54.956654680068006,8.0,44.0,36.0
2022-03,55.06,26.0,2.0,1194.0,1.0,7235963,77.57254530360487,10.0,67.0,57.0
2022-04,58.01,32.0,2.0,886.0,1.0,7103359,73.44355351347212,12.0,75.0,63.0
2022-05,82.09,36.0,2.0,1791.0,1.0,10993074,121.51103556268248,13.0,98.0,85.0
2022-06,66.38,38.0,2.0,1312.0,1.0,8531083,82.14079396452642,14.0,86.0,72.0
2022-07,88.52,54.0,4.0,1479.0,1.0,13922877,101.25994567668899,21.0,119.0,98.0
2022-08,30.23,17.0,2.0,782.0,1.0,4628305,40.71755858949007,7.0,36.0,29.0
2022-09,53.37,20.0,2.0,9445.0,1.0,6565055,192.68256442427202,8.0,48.0,40.0
2022-10,47.27,23.0,2.0,1297.0,1.0,6500664,66.55979483890815,9.0,58.0,49.0
2022-11,62.95,30.0,2.0,1863.0,1.0,8070778,88.96067355838669,11.0,78.0,67.0
2022-12,62.09,28.0,2.0,1241.0,1.0,8337793,86.88373560778001,11.0,78.0,67.0
2023-01,69.94,42.0,8.0,2124.0,1.0,10476709,80.31978577830756,17.0,94.0,77.0
2023-02,54.95,27.0,2.0,1577.0,1.0,8314268,81.87874032071853,11.0,65.0,54.0
2023-03,40.49,23.0,2.0,1247.0,1.0,6116189,51.23220042703829,9.0,51.0,42.0
2023-04,66.21,33.0,2.0,1561.0,1.0,10176495,90.41751498193769,13.0,81.0,68.0
2023-05,82.83,40.0,2.0,1397.0,1.0,12727146,109.59512712236659,13.0,109.0,96.0
2023-06,73.18,40.0,4.0,1155.0,1.0,11476556,93.56627053369984,15.0,92.0,77.0
2023-07,110.2,49.0,4.0,2692.0,1.0,18311325,169.78347579566307,18.0,125.0,107.0
2023-08,52.89,24.0,2.0,3501.0,1.0,8096384,85.55079163050812,9.0,61.0,52.0
2023-09,49.73,24.0,2.0,2092.0,1.0,6987606,71.0028219006333,9.0,60.0,51.0
2023-10,54.89,25.0,2.0,1307.0,1.0,9049786,82.65317633613614,10.0,64.0,54.0
2023-11,45.44,23.0,2.0,989.0,1.0,6133833,62.182383360140165,9.0,55.0,46.0
