DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/05/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;221;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000720;10/06/2020 03:07:33
01/05/2020;JOKER;CORINGA;E1900357300000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;6;6000010;20979;29163;SANTA ROSA;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
01/05/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;242;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
01/05/2020;SMALLFOOT;PÉPEQUENO;E1800215200000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;256;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
01/05/2020;THE CURSE OF LA LLORONA;A MALDIÇÃO DA CHORONA;E1800606100000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;8;6000010;20979;29163;SANTA ROSA;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
01/05/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;2;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000720;10/06/2020 03:07:33
02/05/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;282;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000720;10/06/2020 03:07:33
02/05/2020;AQUAMAN;AQUAMAN;E1800433400000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
02/05/2020;JOKER;CORINGA;E1900357300000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;2;6000010;20979;29163;SANTA ROSA;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
02/05/2020;JOKER;CORINGA;E1900357300000;CANADÁ;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
02/05/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;312;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
02/05/2020;SMALLFOOT;PÉPEQUENO;E1800215200000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;251;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
02/05/2020;THE CURSE OF LA LLORONA;A MALDIÇÃO DA CHORONA;E1800606100000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;4;6000010;20979;29163;SANTA ROSA;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
02/05/2020;THE CURSE OF LA LLORONA;A MALDIÇÃO DA CHORONA;E1800606100000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;12;6000010;20979;20980;TRÊS PASSOS;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
02/05/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000720;10/06/2020 03:07:33
03/05/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;104;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000720;10/06/2020 03:07:33
03/05/2020;JOKER;CORINGA;E1900357300000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;6;6000010;20979;29163;SANTA ROSA;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
03/05/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;202;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
03/05/2020;SMALLFOOT;PÉPEQUENO;E1800215200000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;264;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
03/05/2020;THE CURSE OF LA LLORONA;A MALDIÇÃO DA CHORONA;E1800606100000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;6;6000010;20979;29163;SANTA ROSA;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
03/05/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;2;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000720;10/06/2020 03:07:33
04/05/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;70;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000720;10/06/2020 03:07:33
04/05/2020;A STAR IS BORN;NASCE UMA ESTRELA;E1800303500000;ESTADOS UNIDOS;5006547;LITORAL PLAZA DRIVE-IN;63;6000027;22546;41704;PRAIA GRANDE;SP;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
04/05/2020;JOKER;CORINGA;E1900357300000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;13;6000010;20979;29163;SANTA ROSA;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
04/05/2020;JOKER;CORINGA;E1900357300000;CANADÁ;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
04/05/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;99;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
04/05/2020;SMALLFOOT;PÉPEQUENO;E1800215200000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;119;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
05/05/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;109;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000720;10/06/2020 03:07:33
05/05/2020;A STAR IS BORN;NASCE UMA ESTRELA;E1800303500000;ESTADOS UNIDOS;5006547;LITORAL PLAZA DRIVE-IN;56;6000027;22546;41704;PRAIA GRANDE;SP;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
05/05/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;163;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000620;10/06/2020 03:10:28
