DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/04/2021;CHORÃO: MARGINAL ALADO;;B2000158900000;BRASIL;5002102;CINE DRIVEIN;40;;5465;6715;BRASÍLIA;DF;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;31001478007621;26/04/2023 10:11:15
01/04/2021;CHORÃO: MARGINAL ALADO;;B2000158900000;BRASIL;5006643;PLAYARTE RORAIMA GARDEN SALA 02;3;6000049;39188;47248;BOA VISTA;RR;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;31001478007621;26/04/2023 10:11:15
01/04/2021;DRUK;DRUK - MAIS UMA RODADA;E2100078400000;DINAMARCA;5002812;PARADIGMA CINE ARTE;7;;16817;16818;FLORIANÓPOLIS;SC;VITRINE FILMES LTDA;11.620.976/0001-83;31046010000821;07/05/2021 17:33:23
01/04/2021;FOLLOW ME;SEM SAÍDA;E2100006300000;ESTADOS UNIDOS;5006057;CINE GRACHER JOAÇABA SALA 02;4;6000032;5979;40234;JOAÇABA;SC;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;00.943.231/0001-39;31006426002721;25/04/2023 19:08:13
01/04/2021;FOLLOW ME;SEM SAÍDA;E2100006300000;ESTADOS UNIDOS;5000207;KINOPLEX GRANDE RIO 4;16;6000037;1991;2424;SÃO JOÃO DE MERITI;RJ;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;00.943.231/0001-39;31006426002721;25/04/2023 19:08:13
01/04/2021;HONEST THIEF;LEGADO EXPLOSIVO;E2000416200000;ESTADOS UNIDOS;5000207;KINOPLEX GRANDE RIO 4;8;6000037;1991;2424;SÃO JOÃO DE MERITI;RJ;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807000921;01/06/2021 16:42:03
01/04/2021;LUCICREIDE VAI PRA MARTE;;B1900421800000;BRASIL;5000206;KINOPLEX GRANDE RIO 3;6;6000037;1991;2424;SÃO JOÃO DE MERITI;RJ;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07.616.202/0001-01;31005250000921;26/05/2021 12:32:28
01/04/2021;LUCICREIDE VAI PRA MARTE;;B1900421800000;BRASIL;5001662;ORIENT CINEPLACE BOULEVARD SHOPPING - SALA 3;11;6000046;2869;6630;FEIRA DE SANTANA;BA;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07.616.202/0001-01;31005250000921;26/05/2021 12:32:28
01/04/2021;MONSTER HUNTER;MONSTER HUNTER;E2000403800000;ESTADOS UNIDOS;5003823;ARCOPLEXCINEMAS- ITAGUAÇU IV;9;6000003;24035;24048;SÃO JOSÉ;SC;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;30006058000721;13/05/2021 16:46:58
01/04/2021;MONSTER HUNTER;MONSTER HUNTER;E2000403800000;ESTADOS UNIDOS;5003825;ARCOPLEXCINEMAS- ITAJAÍ I;5;6000003;24035;24049;ITAJAÍ;SC;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;30006058000721;13/05/2021 16:46:58
01/04/2021;MONSTER HUNTER;MONSTER HUNTER;E2000403800000;ESTADOS UNIDOS;5003837;ARCOPLEXCINEMAS- PATIO CHAPECÓ II;4;6000003;24035;24054;CHAPECÓ;SC;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;30006058000721;13/05/2021 16:46:58
01/04/2021;MONSTER HUNTER;MONSTER HUNTER;E2000403800000;ESTADOS UNIDOS;5003862;ARCOPLEXCINEMAS- VIA CATARINA II;3;6000003;24035;24062;PALHOÇA;SC;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;30006058000721;13/05/2021 16:46:58
01/04/2021;MONSTER HUNTER;MONSTER HUNTER;E2000403800000;ESTADOS UNIDOS;5005408;ARCOPLEXCINEMAS-ARARANGUA SALA 01;2;6000003;24035;31752;ARARANGUÁ;SC;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;30006058000721;13/05/2021 16:46:58
