DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/07/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5006561;CINEART CACOAL SHOPPING SALA DRIVE-IN;4;;19535;37071;CACOAL;RO;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000920;04/08/2020 15:56:14
01/07/2020;2001 : A SPACE ODYSSEY;2001 : UMA ODISSÉIA NO ESPAÇO;E1600650800000;REINO UNIDO;5006556;BELAS ARTES DRIVE-IN;97;;12439;26953;SÃO PAULO;SP;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000920;04/08/2020 19:03:03
01/07/2020;A STAR IS BORN;NASCE UMA ESTRELA;E1800303500000;ESTADOS UNIDOS;5006551;CENTERPLEX LAPA DRIVE-IN - CINE CTN;128;6000006;2836;2842;SÃO PAULO;SP;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000920;04/08/2020 19:03:03
01/07/2020;AQUAMAN;AQUAMAN;E1800433400000;ESTADOS UNIDOS;5006570;TOP CINEPLEX PAULÍNIA - DRIVE-IN;4;6000056;19398;19399;PAULÍNIA;SP;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000920;04/08/2020 19:03:03
01/07/2020;BAD BOYS FOR LIFE;BAD BOYS PARA SEMPRE;E1900525600000;ESTADOS UNIDOS;5006562;CINE QUINZE DRIVE-IN;7;6000012;15558;39450;GUARAPUAVA;PR;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;30006058001320;14/08/2020 19:51:35
01/07/2020;BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN);AVES DE RAPINA (ARLEQUINA E SUA EMANCIPAÇÃO FANTABULOSA);E1900628800000;ESTADOS UNIDOS;5004880;CIRCUITO CINEMAS PBAS- SALA 02;3;6000028;15568;27873;PARAUAPEBAS;PA;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000920;04/08/2020 19:03:03
01/07/2020;COLD PURSUIT (AKA HARD POWDER);VINGANÇA A SANGUE-FRIO;E1900025800000;ESTADOS UNIDOS;5006547;LITORAL PLAZA DRIVE-IN;13;6000027;22546;41704;PRAIA GRANDE;SP;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026002220;27/10/2020 16:24:15
01/07/2020;DOLITTLE;DOLITTLE;E1900437900000;ESTADOS UNIDOS;5006562;CINE QUINZE DRIVE-IN;4;6000012;15558;39450;GUARAPUAVA;PR;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000920;04/08/2020 15:56:14
01/07/2020;JOKER;CORINGA;E1900357300000;CANADÁ;5006574;DRIVE IN CINEART ALPHAVILLE;29;6000013;437;45925;NOVA LIMA;MG;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000920;04/08/2020 19:03:03
01/07/2020;JOKER;CORINGA;E1900357300000;CANADÁ;5006575;DRIVE IN CINEART MIX GARDEN;24;6000013;437;45926;NOVA LIMA;MG;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000920;04/08/2020 19:03:03
01/07/2020;JOKER;CORINGA;E1900357300000;CANADÁ;5006570;TOP CINEPLEX PAULÍNIA - DRIVE-IN;2;6000056;19398;19399;PAULÍNIA;SP;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000920;04/08/2020 19:03:03
01/07/2020;JUMANJI: NEXT LEVEL;JUMANJI: PROXIMA FASE;E1900458100000;ESTADOS UNIDOS;5006561;CINEART CACOAL SHOPPING SALA DRIVE-IN;6;;19535;37071;CACOAL;RO;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;30006058001320;14/08/2020 19:51:35
01/07/2020;JUMANJI: NEXT LEVEL;JUMANJI: PROXIMA FASE;E1900458100000;ESTADOS UNIDOS;5006573;DRIVE - GYN FLAMBOYANT;13;6000039;45898;45899;GOIÂNIA;GO;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;30006058001320;14/08/2020 19:51:35
01/07/2020;LA LA LAND;LA LA LAND – CANTANDO ESTAÇÕES;E1600677400000;ESTADOS UNIDOS;;CINEART ALPHAVILLE (DRIVE IN);24;;;;BELO HORIZONTE;MG;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026002220;27/10/2020 16:24:15
01/07/2020;PARASITE;PARASITA;E1900453900000;CORÉIA DO SUL;;CINESYSTEM AMERICAS (CINE DRIVE IN AMERICA CINESYSTEM);6;;;;RIO DE JANEIRO;RJ;RJ DISTRIBUIDORA DE FILMES LTDA;00.146.442/0001-40;31000261002320;18/08/2020 15:38:40
